path,text
segment_audio\09_01_004289_210914_SD_seg010.wav,"어떻게 해결할 방법을 찾지 말고 일단 쉬어줘야 되는데 이걸 어떻게 해야 될지 모르겠네요. 이거 말하고서 이거 우리가 지금 할 일을 좀 쉬는 게 좋지 않을까 싶은데, 계속 이렇게 아프거나 그러면은 내일이나 내일 모레나 더 안 좋아질 수도 있으니까 제 생각에는 휴식이 필요하지 않을까 그런 생각을 해봅니다."
segment_audio\09_01_004698_210831_SD_seg000.wav,너는 (SNS)/(에쓰 엔 에쓰)를 할 때 게시물 업로드를 자주 하는 편이야?
segment_audio\09_01_004698_210831_SD_seg001.wav,내가 주로 하는 (SNS)/(에쓰 엔 에쓰)는 인스타그램인데. 게시물은 전혀 올리지 않아. 그래도 가끔씩 스토리를 올리는 것 같아. 너는 (SNS)/(에쓰 엔 에쓰)에 업로드를 자주 하는 편이야?
segment_audio\09_01_004698_210831_SD_seg002.wav,나는 업로드 자체는 자주 하는 편인 것 같아. 인스타그램을 보면은 게시물을 피드에 업로드하는 게 있고 스토리로 업로드하는 게 있잖아.
segment_audio\09_01_004698_210831_SD_seg003.wav,"피드 게시물은 거의 안 올리는데 (24 시간)/(이 십 사 시간) 후면 사라지는 스토리는 하루에 한 개씩,"
segment_audio\09_01_004698_210831_SD_seg004.wav,많으면 (5 개)/(다섯 개)까지도 올리는 것 같아. 게시물이 하루면 사라지니까 부담 없이 편하게 올릴 때 스토리를 자주 올리는 것 같아. 그럼 너는 게시물을 올리면 주로 어떤 내용을 올려?
segment_audio\09_01_004698_210831_SD_seg005.wav,나는 좋은 노래를 찾으면 애들한테 추천해 주고 싶은 마음에 올리는 게 제일 많은 것 같아. 그리고 영화나 드라마를 볼 때 좀 감동적인 장면이나 설레는 장면을 찍어서 올리는 편이야. 아니면 친구들이랑 웃긴 얘기를 한 것도 올리고. 가끔 교수님이 힘이 나는 말을 해 주실 때
segment_audio\09_01_004698_210831_SD_seg006.wav,그걸 찍어서 올리는 것 같아. 그럼 너는 주로 어떤 내용을 업로드해?
segment_audio\09_01_004698_210831_SD_seg007.wav,나는 피드 게시물을 올리면 정말 특별한 활동을 한 날에 올려. 어디 경치 좋은 곳에 놀러 갔다던가 놀이공원에 갔다거나. 뭐 이런 날들 있잖아.
segment_audio\09_01_004698_210831_SD_seg008.wav,사실 나는 피드 게시물은 (3 개)/(세 개)밖에 안 될 정도로 적게 올리거든. 그래서 막 딱히 정해놓고 이런 건 없지만 특별한 날에 많이 올리는 것 같아. 그리고 스토리 게시물은 이것저것 가리지 않고 올리는 편이야.
segment_audio\09_01_004698_210831_SD_seg009.wav,그날 먹은 맛있는 음식을 올리기도 하고 셀카가 잘 나온 것 같은 날에 셀카를 올리기도 해. 그리고 그날 재밌는 일이 있었던 경우에도 올리고
segment_audio\09_01_004698_210831_SD_seg010.wav,길 가다가 강아지나 고양이 같은 귀여운 동물을 만나면 귀여워서 친구들한테 같이 보라고 올리는 것 같아. 그리고 친구랑 대화를 하는 게 너무 웃기면 그것도 캡처해서 올려.
segment_audio\09_01_004698_210831_SD_seg011.wav,또 너처럼 좋은 음악을 발견했을 때 다른 애들한테 들어보라고 음악도 올리는 것 같아. 그리고 누군가한테 선물을 받게 되면 자랑하려고 (올리는)/(울리는) 것도 있어.
segment_audio\09_01_004698_210831_SD_seg012.wav,너는 (SNS)/(에쓰 엔 에쓰)를 할 때 (SNS)/(에쓰 엔 에쓰)에 스트레스를 받는 편이야 아니면 즐기는 편이야?
segment_audio\09_01_004698_210831_SD_seg013.wav,예전에는 확실히 받는 편이었는데 요즘은 즐기는 편인 것 같아. 이게 중독될수록 더 스트레스를 받더라고. 이제는 진짜 웃긴 영상 같은 걸 보고 싶을 때나 스토리를 올리고 싶을 때만 인스타그램에 들어가고
segment_audio\09_01_004698_210831_SD_seg014.wav,아니면은 잘 들어가지 않으려고 노력하기 때문에 스트레스를 받을 만한 일이 별로 없어. 너는 (S N S)/(에스 엔 에스)에 스트레스를 받는 편이야 아니면은 즐기는 편이야?
segment_audio\09_01_004698_210831_SD_seg015.wav,나도 예전에는 처음에 인스타그램을 시작할 때 게시물을 어떻게 올려야 할지도 모르고 태그 (다는)/(타는) 법이라든가 이런 거가 너무 어려워서 스트레스를 받았었어. 근데 요즘은 그런 거 상관 안 하고 즐기는 편이야. 내가 인스타 셀럽이 될 것도 아니고.
segment_audio\09_01_004698_210831_SD_seg016.wav,예쁜 게시물을 올리지 않았다고 누구한테 벌을 받거나 비난을 받는 것도 아닌데 굳이 피드를 예쁘게 꾸미고 보기에 예쁜 것만 올리지 않아도 된다고 생각해.
segment_audio\09_01_004698_210831_SD_seg017.wav,그렇게 올리는 사람이 나쁘다거나 이런 게 아니고. 내가 (S N S)/(에쓰 엔 에쓰)를 이용하는 취향은 그렇다는 거야. 그럼 너는 (S N S)/(에쓰 엔 에쓰)로 유지하는 친구 관계가 의미 있다고 생각해?
segment_audio\09_01_004698_210831_SD_seg018.wav,솔직히 의미 없다고 생각해. 예를 들어서 내가 너무 친한데 불가피하게 만나지 못하는 상황이라 (S N S)/(에스 엔 에스)를 통해서만 들 수 있다면 의미가 있겠지만 사실 별로 친하지도 않은데 (S N S)/(에스 엔 에스) 친구만 하고 있는 거는 딱히 의미가 있나 싶어.
segment_audio\09_01_004705_210831_SD_seg000.wav,너는 번데기를 혹시 좋아해? 왜?
segment_audio\09_01_004705_210831_SD_seg001.wav,나는 번데기는 싫어해. 번데기가 일단 벌레잖아. 심지어 다른 벌레도 아니고
segment_audio\09_01_004705_210831_SD_seg002.wav,누에나방 번데기를 삶아서 만든 건데 미래의 누에나방을 내가 입에 넣고 씹고 있다 생각하면 너무 소름 끼쳐.
segment_audio\09_01_004705_210831_SD_seg003.wav,그리고 모양도 너무 징그러운 것 같아. 안 그래도 징그럽게 생겼는데. 간장에 졸여져서 그 주름 하나하나가 눈에 잘 들어오게 되는 것도. 너무 싫어. 또 냄새도 너무 큼큼하고
segment_audio\09_01_004705_210831_SD_seg004.wav,번데기는 시장에서 종이컵에 담아서 파는 게 대부분이니까 위생적으로도 안 좋을 것 같아. 전에 길거리 가다가 한 번 도전한 적이 있었는데
segment_audio\09_01_004705_210831_SD_seg005.wav,맛 자체는 나쁘지 않은데 식감이 퍼석거리면서 흩어지는 게 내가 벌레를 먹고 있구나 하고 실감하게 돼서 더 싫어. 그러면 너는 번데기 좋아해?
segment_audio\09_01_004705_210831_SD_seg006.wav,나는 번데기를 되게 좋아해. 왜냐하면은 강릉에 놀러 갔을 때. 정확히 어디를 갔는지는 기억이 안 나는데. 되게 어렸을 땐데. 놀다가 지쳐 있을 때 번데기를 처음 먹어봤거든. 솔직히 생긴 게 너 말대로 좀 징그럽긴 한데. 그때는 징그러운지도 모르고. 배고파서 막 먹었었는데 그때가 되게 추운 날이어서 그런지 따뜻하고. 번데기 냄새가 나는 되게 좋더라고. 그 (이후로)/(이유로) 우리
segment_audio\09_01_004705_210831_SD_seg007.wav,집 근처 공원에서 내가 초등학교 때 매주 주말마다 번데기를 파시는 분이 있었는데. 그때 애들이랑 돈이 없어서 하나를 사서 막 나눠 먹던 기억이 나. 그 기억 때문에 더 좋아하는 것 같기도 해. 그럼 너는 혹시 홍어를 좋아해?
segment_audio\09_01_004705_210831_SD_seg008.wav,나는 홍어를 먹어본 적이 없어서 모르겠어. 냄새도 가까이서 맡아본 적은 없고. 시장에서 길 가다가 스치듯이 맡아본 게 다라서 (홍어에)/(호호에) 대한 후보로는 잘 모르겠어. 근데 굳이 애써서 도전해보고 싶지는 않은 것 같아.
segment_audio\09_01_004705_210831_SD_seg009.wav,그럼 너는 홍어 좋아해?
segment_audio\09_01_004705_210831_SD_seg010.wav,나는 홍어를 제대로 먹어본 적은 없는데. 싫어. 내가 홍어를 시식 코너에서 딱 한 번 먹어봤는데 내가 평소에 고기보다도 생선을 더 좋아하는 편이라. 그냥 아무 생각 없이 집어서 바로 먹어봤거든. 근데 입에 넣자마자 냄새가 너무 역하더라고. 그래서 씹지도 못하고 바로 뱉었던 기억이 나. 나는 웬만한 냄새는 다 참는 편인데 홍어 냄새는 다시 맡으라고 하면은 못 맡을 것 같아.
segment_audio\09_01_004705_210831_SD_seg011.wav,그러면 너는 혹시 개불 좋아해?
segment_audio\09_01_004705_210831_SD_seg012.wav,나는 개불은 좋아하는 편이야. 예전에 개불을 먹었는데 갓 잡은 거라서 엄청 신선했었거든.
segment_audio\09_01_004705_210831_SD_seg013.wav,딱 씹었는데 설탕을 뿌린 것처럼 엄청 달달했던 기억이 있어.
segment_audio\09_01_004705_210831_SD_seg014.wav,그리고 식감이 오도독 오도독해서 재미있었던 것 같아. 근데 개불은 생각보다 비싸서 많이 못 먹는 게 아쉬워. 그럼 너는 개불을 좋아해?
segment_audio\09_01_004705_210831_SD_seg015.wav,나도 개불을 되게 좋아해. 솔직히 개불이 생긴 거는 좀 징그럽게 생겼지만 횟집 같은 데 가서 잘라서 나오는 거는 모양이 이상하지도 않고 일단 식감이 되게 쫄깃해서 맛있어. 그리고 이게 은근 먹다 보면 너 말처럼 되게 달아서 아마 모양을 생각하지 않고 손질된 거를 먹는다면은 진입 장벽이 장벽이 그렇게 높지는 않을 거라고 생각해.
segment_audio\09_01_004705_210831_SD_seg016.wav,그럼 너는 오이냉국을 좋아해?
segment_audio\09_01_004705_210831_SD_seg017.wav,나는 오이냉국도 좋아해. 얼마 전 한여름에도 내가 오이냉국을 직접 만들어서 먹었어. 나는 오이도 좋아하고 미역도 곧잘 먹거든.
segment_audio\09_01_004705_210831_SD_seg018.wav,한여름에 냉장고에 넣어놨다가 먹으면 시원하게 입맛을 (돋궈주는)/(덮어주는) 것 같아. 오이의 아삭아삭한 식감이랑 미역이 술술 잘 넘어가는 게 좋아. 고소한 깨도 뿌려서 먹으면 정말 맛있어.
segment_audio\09_01_004705_210831_SD_seg019.wav,그럼 넌 오이냉국 좋아해?
segment_audio\09_01_004705_210831_SD_seg020.wav,나는 오이냉국을 싫어해. 저번에도 말했지만 내가 오이를 원래는 싫어했었거든. 물론 지금은 있으면 먹지만 굳이 찾아 먹지는 않기 때문에 오이가 물에 빠져 있는 것도 싫고 나는. 국은 무조건 뜨끈하게 먹는 거를 좋아하는 편이라서. 그렇게 찬 국도 싫어.
segment_audio\09_01_004713_210831_SD_seg000.wav,너는 연락하는 걸 귀찮아하는 성격의 사람들이 있잖아. 그럼 너는 읽씹이랑 안읽씹 중에 뭐가 더 나아?
segment_audio\09_01_004713_210831_SD_seg001.wav,나는 둘 다 크게 신경 쓰지 않는 사람이야. 사실 내가 연락하는 거를 귀찮아하는 편이거든. 그래서 내가 먼저 연락을 잘 안 하는데.
segment_audio\09_01_004713_210831_SD_seg002.wav,다른 사람이 먼저 연락하는 걸 기대하는 건 이기적인 것 같아. 그래서 나도 연락 자체에 대해서 크게 연연하지 않아. 필요하면 연락을 할 거고
segment_audio\09_01_004713_210831_SD_seg003.wav,나도 내가 필요하면 연락을 할 거거든. 정말 친한 친구들 아니고서는 읽씹이던 안읽씹이던 상관을 안 쓰는 것 같아.
segment_audio\09_01_004713_210831_SD_seg004.wav,근데 너라면 읽씹을 해도 걱정이고. 안읽씹을 해도 걱정이 될 것 같아. 근데 다른 사람들이라면 사실 읽씹이랑 안읽씹 둘 다 확인을 했을 걸 알기 때문에.
segment_audio\09_01_004713_210831_SD_seg005.wav,괜찮은 것 같아. 그럼 너는 읽씹이랑. 안읽씹 중에 뭐가 더 괜찮은 것 같아?
segment_audio\09_01_004713_210831_SD_seg006.wav,나는 그래도 읽고 씹는 게 더 나은 것 같아. 왜냐하면 안 읽고 씹는 거는 그냥 자기가 답장하기는 귀찮은데 읽씹하기에는 눈치 보이는 거니까 계속 안 읽고 냅두는 거잖아. 읽씹은 읽었다 이렇게 확인을 하는 거 정도는 할 수 있지만
segment_audio\09_01_004713_210831_SD_seg007.wav,안읽씹은 그냥 읽었는지 안 읽었는지도 모르고. 나는 계속 기다리고 있는 게 그게 너무 답답해서 싫어. 그러면 내성적인 성격을 가진 사람들이랑은 어떻게 친해져야 될까?
segment_audio\09_01_004713_210831_SD_seg008.wav,내가 외향적인 성격. 반 내향적인 성격 반이 아주 미묘하게 잘 섞여 있어서 이거에 대해서 잘 설명할 수 있어.
segment_audio\09_01_004713_210831_SD_seg009.wav,내성적인 성격의 사람들이 조용히 앉아 있는 게 외향적인 사람들은 되게 답답하게 느껴질 수도 있어. 그런데 내성적인 사람들은 누가 와서 말 걸기를 기다려주기 원할 가능성이
segment_audio\09_01_004713_210831_SD_seg010.wav,(90 %)/(구 십 프로) 이상이야. 내성적인 사람들은 그 자리에 앉아서
segment_audio\09_01_004713_210831_SD_seg011.wav,누가 나한테 말을 걸어줬을 때 무슨 대답을 해야 할지. 오만 가지 생각으로 예상을 하고 있을 거란 말이지. 그래서 먼저 말을 걸어주면
segment_audio\09_01_004713_210831_SD_seg012.wav,내성적인 사람들이 정말 좋아할 거야. 말을 먼저 거는 게 내성적인 사람과는 친해지는 거에 거의 대부분인 것 같아.
segment_audio\09_01_004713_210831_SD_seg013.wav,내성적인 사람들한테 한 번 말을 걸어주면 말을. 그다음에 준비를 해놨기 때문에 쉽게 쉽게 대화가 되고 그러면서 관심사를 공유하고 그다음엔 친해지게 되는 거 같아. 그러면 너는 어떻게 해야 내 성적인 성격을 가진 사람들과 친해질 수 있을 것 같아?
segment_audio\09_01_004713_210831_SD_seg014.wav,나는 그 친구가 나한테 마음을 열 때까지 기다리는 게 좋은 방법이라고 생각해. 내 친구 중에는 정말 내성적인 친구가 있었거든. 그 친구랑 처음에 빨리 친해지고 싶어서 내 속에 있는 얘기도 많이 하고 말도 많이 걸었는데 처음에는 오히려 부담스러워 하더라고.
segment_audio\09_01_004713_210831_SD_seg015.wav,그래서 그 친구가 마음을 열 수 있을 때까지 천천히 기다리는 게 좋을 것 같아. 너는 그럼 내성적인 성격을 가진 사람들만의 장점은 뭐라고 생각해?
segment_audio\09_01_004713_210831_SD_seg016.wav,내성적인 성격을 가진 사람도 사람마다 다르겠지만 내가 느낀 내성적인 거의 대부분의 사람들은 차분하다는 게 장점인 것 같아.
segment_audio\09_01_004713_210831_SD_seg017.wav,차분한 만큼 생각을 많이 하고 행동을 하니까 필요 이상의 말을 과하게 하지 않아서 남한테 상처를 주는 말이나 행동을 하지 않는 것 같아.
segment_audio\09_01_004713_210831_SD_seg018.wav,그럼 너는 내성적인 성격을 가진 사람들의 장점이 뭐라고 생각해?
segment_audio\09_01_004713_210831_SD_seg019.wav,내성적인 사람들은 겉으로 표현을 안 하는 만큼 생각이 많다고 생각해. 내가 아는 내성적인 사람들 대부분은 감수성이 되게 풍부한 사람들이 많아.
segment_audio\09_01_004713_210831_SD_seg020.wav,그래서 좀 생각이 깊다고 생각을 하고 다른 사람 마음을 잘 헤아려주는 것 같아. 표현이. 그래서 적어도 확실히 표현을 할 때 남들보다 거칠지 않고 따뜻한 말을 잘 해주는 게 내성적인 사람들의 장점이라고 생각해.
segment_audio\09_01_004722_210831_SD_seg000.wav,너는 인간관계에 현타가 온 적이 있었어? 있다면 왜 왔어?
segment_audio\09_01_004722_210831_SD_seg001.wav,나는 인간 관계의 현타가 자주 오는 편인데 고등학교 때 특히 좀 자주 왔던 것 같아. 내가 원래 전화하는 걸 엄청 좋아하는데. 고등학교 때는 애들이 다들 바쁘니까
segment_audio\09_01_004722_210831_SD_seg002.wav,전화하면 다 뭐 하는 중이라. 끊어야 하는 경우가 많았거든. 원래 고(3)/(삼)은 공부를 하면 공부하느라 힘들고 안 하면 맘고생하느라 힘들잖아.
segment_audio\09_01_004722_210831_SD_seg003.wav,이전에는 힘든 일이 있으면 애들이랑 욕하면서 풀었는데. 이때부터는 뭔가 힘든 일은 알아서 각자 지고 가자 이런 느낌이라. 좀 현타가 왔던 것 같아. 그러면 너는 인간관계에 현타가 온 적이 있어?
segment_audio\09_01_004722_210831_SD_seg004.wav,있으면 왜 온거야?
segment_audio\09_01_004722_210831_SD_seg005.wav,나는 친구가 분명 많이 있다고 생각을 했는데 막상 무슨 일이 있을 때 편하게 연락할 상대가 없다는 게. 현타가 왔었어. 무슨 일이 있어서. 동네 방네 얘기하면서
segment_audio\09_01_004722_210831_SD_seg006.wav,조금이라도 조언을 얻고 싶을 때가 있잖아. 그럴 때 한 두 명 많아도 세 네 명한테밖에 말을 못하면. 조금 (현타가)/(현태가) 왔던 것 같아. 내가 (20 년)/(이 십 년)이 넘도록 쌓아온 (인간관계가)/(인관관계가) 이 정도로 좁은가 이런 생각이 들어서 힘들었어.
segment_audio\09_01_004722_210831_SD_seg007.wav,또 만날 때는 편안했는데 집에 가서 연락을 할 때. 내가 먼저 연락을 해도 괜찮은 건가. 이런 생각이 들 때 나는 왜 항상 인간관계에서 스스로 을이 되려고 할까? 이런 생각도 많이 했던 것 같아.
segment_audio\09_01_004722_210831_SD_seg008.wav,그러면은 너는 그 현타를 어떻게 극복했어?
segment_audio\09_01_004722_210831_SD_seg009.wav,나는 전화하고 싶을 때마다 이어폰을 꼽고 노래를 들었던 것 같아. 내가 원래 노래를 그렇게까지는 좋아하지 않았거든. 근데 이때부터 노래를 엄청 많이 들었어.
segment_audio\09_01_004722_210831_SD_seg010.wav,나랑 비슷한 감정을 가진 노래 가사를 들으면서 위로받았던 것 같아. 아니면 일부러 엄청 바쁘게 움직였어. 굳이 안 해도 되는 일을 만들어서 했던 것 같아.
segment_audio\09_01_004722_210831_SD_seg011.wav,그러면은 잡생각이 없어져서 좋더라고. 그러면 너는 그 현타를 어떻게 극복했어?
segment_audio\09_01_004722_210831_SD_seg012.wav,사실 아직 극복까지는 못한 것 같아. 아직도 연락할 일이 생기면 연락을 하기 전에 고민을 하거든. 내가 먼저 연락을 해서 이상하게 생각하지는 않을까 걱정이 되고 카카오톡에 생일을 보여주는 기능이 있잖아.
segment_audio\09_01_004722_210831_SD_seg013.wav,그 생일이 떠서 축하를 해주려다가도 내가 목적이 있어서 연락을 하는 사람처럼 보일까 봐 축하도 잘 못해주는 것 같아.
segment_audio\09_01_004722_210831_SD_seg014.wav,그래도 요즘에는 사람들은 생각 보다 예상치 못한 곳에서 연락이 왔을 때. 반가워하는 경우가 더 많다고 생각하려고 노력 중이야. 그럼 너는 사람에 집착을 하는 편인 것 같아?
segment_audio\09_01_004722_210831_SD_seg015.wav,나는 오히려 어릴 때보다도 지금 더 사람에 집착하는 것 같아. 나는 어릴 때는 (1 년)/(일 년)마다 제일 친한 애들이 생기면 진짜 맨날 같이 놀다가 (1 년)/(일 년)이 그냥 지나면 그렇게 멀어져도 별로 미련 없이 보내주는 편이었거든.
segment_audio\09_01_004722_210831_SD_seg016.wav,근데 어느 순간부터 얘 아니면 나랑 같이 있어줄 친구가 없는 것 같은 느낌이 들더라고. 그때부터 사람에 좀 집착하고. 한 번 정 주면 떼는 과정이 너무 어려워진 것 같아. 그러면 너는 사람에 집착하는 편이야?
segment_audio\09_01_004722_210831_SD_seg017.wav,나는 조금 집착이 있는 것 같아. 조금만 평소랑 달라져도 내가 뭘 잘못했나 싶어. 분명 아무것도 없이 평상시랑 비슷한 대화였는데.
segment_audio\09_01_004722_210831_SD_seg018.wav,갑자기 말이 없거나 그럴 때 불안해서 내가 보냈던 연락을 확인하고 또 확인하는 편이야. 그리고 한마디라도 대화를 해봤으면 그 사람이랑 헤어지게 되는 걸 너무 아쉬워하는 것 같아.
segment_audio\09_01_004722_210831_SD_seg019.wav,단지 한 시간만 봤는데도 그 관계에 대해서 이미 나랑 친할 수 있는 사람이라고 생각을 해서 그 사람을 떠나보내는 걸 싫어하는 것 같아. 그리고 나한테 좋지 않은 얘기를 한 사람이라도. 한 번 말을 트고 관심사를 공유한 적이 있으면 그 사람을 잃는 거를 싫어하는 것 같아. 예전에는 크게 싸운 친구한테도
segment_audio\09_01_004722_210831_SD_seg020.wav,해외여행 기념 선물을 사줘야 하나 고민을 한 적도 있었어.
segment_audio\09_01_004725_210831_SD_seg000.wav,너 가족 구성원이 어떻게 돼?
segment_audio\09_01_004725_210831_SD_seg001.wav,나는 아빠 엄마 나 동생 있어. 너는?
segment_audio\09_01_004725_210831_SD_seg002.wav,나는 언니 있어. 내가 막내야. 그럼 너는 동생이 있어서 좋아? 동생에 대해서 어떻게 생각해?
segment_audio\09_01_004725_210831_SD_seg003.wav,사실 동생이랑 나이 차이가 많이 안 나거든? 그래서 어렸을 때는 조금 질투도 나고 싫었는데 지금은 친구 같고 좋아. 너는? 너는 언니 있어서 어때?
segment_audio\09_01_004725_210831_SD_seg004.wav,동생 입장으로 봤을 때 언니는 좀 항상 안쓰러운 것 같아. 내 친구도 언니가 있는데 그래서 나랑 걔랑 자주 언니 얘기를 하거든? 근데 그런 얘기들을 하다 보면 언니들은 참 불쌍해. 뭐라고 표현할 수 없는데 뭐랄까? 바보 같을 정도로 착할 때가 있어. 예를 들면 내 친구는 언니한테 맨날 약간 불이익이 발생하는? 그니까 언니가 피해를 보는 그런 제안을 자주 하거든. 근데 걔네 언니가 또 그걸 들어준다. 근데 우리 언니도 그래. 그래서 좀 불쌍한 것 같아.
segment_audio\09_01_004725_210831_SD_seg005.wav,너는 그러면 네가 언니잖아. 그 첫째로서 그런 부담감 같은 거 있어?
segment_audio\09_01_004725_210831_SD_seg006.wav,"없다고 하면 솔직히 거짓말이고. 그냥 부담감이라기보다는 책임감이지. 어쨌든 나는 아빠 엄마 다음으로 연장자잖아. 내가 이 집에서는. 그래서 내가 언젠가는 우리 집에 가장이 될 수도 있겠다라는 생각을 가지고 있지. 응~ 그런 것 같아. 그냥 동생도 성인이긴 한데 뭔가 아직은 그래도 내눈에는 많이 어려 보이거든? 그래서 내가 이끌어줘야 될 것 같고, 뭔가 내가 책임져야 할 것 같고 그런 생각들이 많이 드는 것 같아. 엄마 아빠도 이제"
segment_audio\09_01_004725_210831_SD_seg007.wav,연세를 많이 드시잖아. 그러다 보니까 더 그런 생각이 드는 것 같아. 너는 그러면 언니가 불쌍하다고 했잖아. 그럼 나중에 언니 대신 장녀 이런 노릇을 할 생각이 있어?
segment_audio\09_01_004725_210831_SD_seg008.wav,그러니까 이게 참 이상한 게 하라고 하면 하겠지만 언니가 있어서 조금 뭐라고 해야 되지? 그러니까 너 말대로 책임감? 그게 좀 없는 것 같아. 아무래도 언니가 있으니까 내가 굳이 장녀 노릇을 해야 하나? 이런 싶은 생각이 들어. 이건 너무 못된지도 모르겠는데. 어쨌든 그냥 동생이라고 해서 완전 책임감이 없는 건 아니고 언니랑 나눠서 할 수 있다는 거에 좀 부담감이 줄어드는 것 같아.
segment_audio\09_01_004725_210831_SD_seg009.wav,기댈 곳이 있다는 게 참 좋은 것 같지. 그래서 언니들이 불쌍하다고 생각이 드는 것 같기도 해. 언니들은 기댈 때가 엄마 아빠밖에 없잖아. 근데 나는 동생들은 이제 언니도 있으니까 장녀 장남들은 좀 혼자 힘든 걸 버텨야 한다고 생각이 들어. 남들도 그런 생각이 드는지는 모르겠는데 나는 그런 생각이 들어. 너 생각은 어때?
